ca,p,Tu,Tb,mb,mdot,qdot
-9.999999237060546875e+01,2.646477691650390625e+05,3.931499999999999773e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.899496728331600082e+01,2.669560338644509902e+05,3.924247827398796744e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.486437300000001778e+04
-9.798994219602651867e+01,2.695814616514747613e+05,3.920533283359735037e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.255184662500001468e+04
-9.698491710873705074e+01,2.718909271805775934e+05,3.911104298008424962e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.673823550000001342e+04
-9.597989202144756860e+01,2.744909091998175136e+05,3.904733877367731907e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.476058700000001409e+04
-9.497486693415810066e+01,2.770738755783841480e+05,3.896960171338118926e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.592013993750001828e+04
-9.396984184686861852e+01,2.799443762161288178e+05,3.892038838253696440e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.409540168750001249e+04
-9.296481675957915058e+01,2.827815039609255618e+05,3.885419385614396219e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.546821331250001822e+04
-9.195979167228966844e+01,2.856621808277174714e+05,3.878157586708557005e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.609943131250001534e+04
-9.095476658500020051e+01,2.887800793598577729e+05,3.872841293274803434e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.491858981250001671e+04
-8.994974149771071836e+01,2.918524823182299733e+05,3.865624266602675903e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.643510843750001732e+04
-8.894471641042125043e+01,2.951064577574327704e+05,3.859495857152720077e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.585778456250001909e+04
-8.793969132313176829e+01,2.985183567648116732e+05,3.854059956151684219e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.556399543750001612e+04
-8.693466623584230035e+01,3.020907446713304962e+05,3.849282895086240615e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.529719956250001269e+04
-8.592964114855281821e+01,3.057381345792781212e+05,3.844015151093650502e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.583793031250001513e+04
-8.492461606126335028e+01,3.094343799322004779e+05,3.837906803061680989e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.662238518750001822e+04
-8.391959097397386813e+01,3.133239578347979113e+05,3.832707718537103005e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.618436118750001333e+04
-8.291456588668440020e+01,3.174043826910367352e+05,3.828291721326039010e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.584061475000001883e+04
-8.190954079939491805e+01,3.216035914838765166e+05,3.823730137706243681e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.614842318750001505e+04
-8.090451571210545012e+01,3.260145167931249016e+05,3.820057093439867231e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.573670856250001452e+04
-7.989949062481596798e+01,3.304735447882251465e+05,3.815289900086395392e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.671283762500001467e+04
-7.889446553752650004e+01,3.352707246711266926e+05,3.812720111083671100e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.539091706250001516e+04
-7.788944045023701790e+01,3.399152029990078881e+05,3.806685648807620623e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.802809637500001554e+04
-7.688441536294754997e+01,3.448234143347712234e+05,3.801865439458508149e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.739297006250001868e+04
-7.587939027565806782e+01,3.504074277015716652e+05,3.802638950678078231e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.370960806250001406e+04
-7.487436518836859989e+01,3.557046617581811734e+05,3.798376501770810023e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.746011843750001935e+04
-7.386934010107913195e+01,3.612411482307673432e+05,3.794781612951661600e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.721746087500001886e+04
-7.286431501378964981e+01,3.673169485405092128e+05,3.794859983206466154e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.488452125000001433e+04
-7.185928992650016767e+01,3.731735595964648528e+05,3.790641786177638437e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.812149050000001444e+04
-7.085426483921069973e+01,3.795452768551835325e+05,3.789603089267798737e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.613545343750001484e+04
-6.984923975192123180e+01,3.860789401330618421e+05,3.788049661595321709e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.673604575000001932e+04
-6.884421466463174966e+01,3.929620218098215410e+05,3.787723355573199910e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.612471768750001502e+04
-6.783918957734226751e+01,3.999051502414260176e+05,3.785744974199847661e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.752444881250002072e+04
-6.683416449005279958e+01,4.075871503921321128e+05,3.788429100230291624e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.452210918750001292e+04
-6.582913940276333165e+01,4.151315535338718910e+05,3.787443092097099679e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.734283543750001991e+04
-6.482411431547384950e+01,4.228292047430537641e+05,3.785495780947559865e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.826434875000001557e+04
-6.381908922818437446e+01,4.311898888168535777e+05,3.787034891863809207e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.608528275000001668e+04
-6.281406414089489942e+01,4.398158005772675970e+05,3.788344545058563995e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.651014125000001513e+04
-6.180903905360542439e+01,4.489369117510110955e+05,3.791282276239134035e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.564241700000001583e+04
-6.080401396631594935e+01,4.584292510727953049e+05,3.794627404803151762e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.563310362500001611e+04
-5.979898887902647431e+01,4.680144138120458229e+05,3.795999721730871670e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.728318881250001868e+04
-5.879396379173699927e+01,4.784177492810458061e+05,3.801157662876065615e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.491652050000001509e+04
-5.778893870444752423e+01,4.889899338874559035e+05,3.804737188887958155e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.630317831250001836e+04
-5.678391361715804919e+01,5.000281898259661393e+05,3.808978046904437065e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.612315656250001484e+04
-5.577888852986857415e+01,5.116477040825985605e+05,3.814587829415514761e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.545275918750001802e+04
-5.477386344257909911e+01,5.235224473524881760e+05,3.818987463066048349e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.658680343750001339e+04
-5.376883835528962408e+01,5.362626452688472345e+05,3.826494038258210253e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.470409350000001359e+04
-5.276381326800014904e+01,5.490099867908663582e+05,3.830794383404716541e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.724042831250001836e+04
-5.175878818071068110e+01,5.625776693462482654e+05,3.837533731434852484e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.581960793750001903e+04
-5.075376309342120607e+01,5.764075198507594177e+05,3.842703348679258397e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.720901100000002043e+04
-4.974873800613173103e+01,5.911950384161579423e+05,3.850825715613298712e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.542953825000001780e+04
-4.874371291884225599e+01,6.066049139055460691e+05,3.859443935387570264e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.537795293750001656e+04
-4.773868783155278095e+01,6.227026036792593077e+05,3.868792510675722269e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.516249918750001598e+04
-4.673366274426330591e+01,6.392769292026225012e+05,3.877440787540970177e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.594626287500001854e+04
-4.572863765697383087e+01,6.568643529169481480e+05,3.888477307205268403e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.456289006250001694e+04
-4.472361256968435583e+01,6.749702625665795058e+05,3.898756079514823227e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.538644175000001633e+04
-4.371858748239488079e+01,6.940586763350118417e+05,3.910822984666876323e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.441830650000001333e+04
-4.271356239510540576e+01,7.136779303420286160e+05,3.921945174781362766e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.536599975000001723e+04
-4.170853730781593072e+01,7.340828941793360282e+05,3.933428883606297290e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.538639337500001420e+04
-4.070351222052645568e+01,7.556321292341601802e+05,3.947032748153861235e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.416483500000001732e+04
-3.969848713323698064e+01,7.779949782147249207e+05,3.960797159972565851e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.431859962500001529e+04
-3.869346204594750560e+01,8.010745813624176662e+05,3.974125833905063132e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.488063287500001570e+04
-3.768843695865803056e+01,8.253786607857573545e+05,3.989412230572340263e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.374365587500001493e+04
-3.668341187136855552e+01,8.506440425926027820e+05,4.005179490901834356e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.364048131250001461e+04
-3.567838678407908048e+01,8.766391766967104049e+05,4.020256722942510237e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.434664268750001793e+04
-3.467336169678961255e+01,9.039331356846555136e+05,4.037165642809636665e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.325343068750001476e+04
-3.366833660950013041e+01,9.320801762019502930e+05,4.053774051721697447e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.365234181250001711e+04
-3.266331152221066247e+01,9.611791817866390338e+05,4.070484987188983723e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.374224125000001550e+04
-3.165828643492118033e+01,9.911768964820696274e+05,4.087046195936978279e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.398448818750001737e+04
-3.065326134763171240e+01,1.022215351611763239e+06,4.104039771667704031e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.378601693750001505e+04
-2.964823626034223025e+01,1.054739044589974917e+06,4.123186571478478868e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.234025143750001371e+04
-2.864321117305276232e+01,1.087844852259743260e+06,4.140923439033157365e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.339306412500001352e+04
-2.763818608576328018e+01,1.122209475774956867e+06,4.159929075520497008e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.250369843750001382e+04
-2.663316099847381224e+01,1.157674544701130129e+06,4.179624263550519458e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.198937081250001211e+04
-2.562813591118433010e+01,1.193625841123131337e+06,4.197912542610019386e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.292331612500001211e+04
-2.462311082389486216e+01,1.230654108771119965e+06,4.217075949738277245e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.217967350000001170e+04
-2.361808573660538002e+01,1.268512246311459923e+06,4.236425183974687911e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.187518462500001442e+04
-2.261306064931591209e+01,1.306799577976164408e+06,4.254818913284678956e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.233359393750001254e+04
-2.160803556202642994e+01,1.346237306613568682e+06,4.274897967897348394e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.083847831250001400e+04
-2.060301047473696201e+01,1.385619473529271316e+06,4.293083841011169284e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.183550406250001470e+04
-1.959798538744747987e+01,1.425899225918816868e+06,4.312705478078786427e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.037761931250001362e+04
-1.859296030015801193e+01,1.466241005242314190e+06,4.331593215490588022e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.038990300000001298e+04
-1.758793521286852979e+01,1.506320269260126632e+06,4.349356294834196319e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.064664400000001478e+04
-1.658291012557906186e+01,1.546152088067880133e+06,4.366509638061549481e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.046811412500001097e+04
-1.557788503828957971e+01,1.585510331985729514e+06,4.382922179534836005e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.030211925000001065e+04
-1.457285995100011178e+01,1.624388063104502624e+06,4.399059489425171137e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.717055375000012646e+03
-1.356783486371062963e+01,1.662503740643532015e+06,4.414769117400217624e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.142011562500010768e+03
-1.256280977642116170e+01,1.699293149904855993e+06,4.429078809651099959e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.193626312500011409e+03
-1.155778468913167956e+01,1.734568424192773877e+06,4.442173049216027607e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.017857062500010215e+03
-1.055275960184221162e+01,1.768685532620840706e+06,4.455579395248535661e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.653473062500008382e+03
-9.547734514552729479e+00,1.800848823521469953e+06,4.467880363937210859e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.231437562500008426e+03
-8.542709427263261546e+00,1.833297311797924573e+06,4.485161643132088329e+02,2.367503484747132006e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.331141812500002743e+03
-7.537684339973779402e+00,1.865279322428474668e+06,4.504318579006012442e+02,2.414026930657451885e+03,6.942065520528553124e-08,6.216619910777713065e-04,0.000000000000000000e+00
-6.532659252684311468e+00,1.900641191414538538e+06,4.525198934410495326e+02,2.416553999462675165e+03,6.548440666970785076e-07,5.242466849892579370e-03,0.000000000000000000e+00
-5.527634165394829324e+00,1.940900536364015657e+06,4.548596696134127342e+02,2.421058139317132373e+03,1.888365472419094433e-06,1.104618460961867901e-02,0.000000000000000000e+00
-4.522609078105361391e+00,1.991043100884415442e+06,4.577202522491603531e+02,2.426665190072074438e+03,4.178100789295683182e-06,2.050458054481635317e-02,0.000000000000000000e+00
-3.517583990815893458e+00,2.053193709487204207e+06,4.611869400301252426e+02,2.433915972239948587e+03,7.700441447388369794e-06,3.154256179647185049e-02,0.000000000000000000e+00
-2.512558903526411314e+00,2.132938186938977800e+06,4.655144163613817909e+02,2.443237350925608553e+03,1.291318653415009842e-05,4.668013403265630634e-02,0.000000000000000000e+00
-1.507533816236943380e+00,2.235288744074312504e+06,4.708838301815760019e+02,2.455039973556789391e+03,2.023947065346279434e-05,6.560687679114342308e-02,0.000000000000000000e+00
